project name, SLOC, developers, age
MPCHC, 268086, 106, 10
LMMS, 187501, 92, 11
LibreOffice, 4609067, 1319, 46
ApacheOpenOffice, 2648470, 51, 5
Chromium, 4837704, 3629, 8
SkyFire, 744092, 474, 8
Doxygen, 192626, 56, 17
Warzone2100, 180358, 65, 11
AssaultCube, 65866, 25, 11
MeshLab, 170084, 0, 1
Blender, 589343, 216, 14
GoldenDict, 76680, 44, 7
Kiwix, 63881, 37, 9
LinuxCNC, 86242, 117, 13
Bitcoin, 73718, 363, 7
PasswordSafe, 117084, 48, 15
Bro, 95793, 49, 6
systemtap, 59401, 206, 46
ROSECompiler, 1180727, 153, 7
MySQLServer, 1093219, 354, 14
PerconaServer, 1034353, 384, 15
MariaDB, 769440, 290, 14
CEPH, 401129, 491, 12
Haiku, 2327175, 209, 14
InspIRCd, 43162, 79, 13
FreeCAD, 355021, 71, 5
QFS, 138942, 23, 4
TextMate, 38379, 73, 4
Unvanquished, 278925, 79, 23
openage, 16550, 58, 3
CapnProto, 27229, 51, 3
Icinga2, 53253, 58, 4
Citra, 39162, 43, 3
Monero, 57305, 35, 3
CuraEngine, 12767, 28, 3
SU2, 116794, 34, 3
OpenStudio, 624575, 39, 3
MultiMC5, 62567, 27, 3
SSDB, 32474, 21, 3
PX4Firmware, 87917, 128, 5
ArkCORE, 704310, 71, 3
Grive, 6656, 19, 2
OMXPlayer, 19074, 20, 2
OCLint, 12309, 22, 3
GamePlay, 215747, 90, 5
IntWars, 23102, 38, 3
Smoothie, 43273, 45, 5
hifi, 114521, 115, 4
ACE3, 48347, 67, 1
LiveCode, 478984, 36, 3
