total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
20, 2572, 80, 956

STL type, instantiations
std::numeric_limits, 39
std::valarray, 1
std::deque, 36
std::vector, 1714
std::iterator, 4
std::list, 153
std::less, 3
std::queue, 9
std::stack, 17
std::binary_function, 27
std::mem_fun_t, 1
std::unary_function, 44
std::back_insert_iterator, 4
std::basic_string, 1
std::allocator, 1
std::map, 93
std::pair, 78
std::auto_ptr, 268
std::greater, 1
std::set, 78

STL function, function calls
std::equal, 1
std::basic_string::basic_string, 1
std::set::insert, 2
std::bind2nd, 1
std::inserter, 3
std::rotate, 1
std::list::insert, 3
std::remove, 1
std::set::set, 2
std::pair::pair, 6
std::auto_ptr::operator auto_ptr_ref<type-parameter-1-0>, 93
std::swap, 43
std::operator<, 2
std::operator<<, 207
std::copy, 3
std::lexicographical_compare, 1
std::transform, 13
std::operator==, 123
std::make_pair, 20
std::max_element, 1
std::fill, 1
std::find_if, 24
std::operator!=, 23
std::mismatch, 1
std::accumulate, 2
std::sort, 29
std::list::remove_if, 1
std::find, 12
std::map::insert, 21
std::mem_fun_ref, 4
std::distance, 8
std::operator>, 1
std::operator+, 24
std::multimap::insert, 6
std::vector::vector, 4
std::nth_element, 4
std::min, 109
std::getline, 1
std::for_each, 27
std::stable_sort, 2
std::max, 108
std::lower_bound, 3
std::vector::insert, 7
std::equal_range, 4
std::advance, 1
std::back_inserter, 2

